field_1,Date,Latitude,Longitude,DaysOld
0,20221012,61.68300436983061,30.9975044988697,5.0
22,20221012,60.64577440819766,28.605163709888732,5.0
21,20221012,60.64268590515914,28.645033058128654,5.0
20,20221012,60.67701538085209,28.72379290709599,5.0
19,20221012,60.76460887187721,28.67710945771534,5.0
18,20221012,60.765586831940745,28.67542031932333,5.0
17,20221012,60.60242267163606,30.604137560238247,5.0
16,20221012,60.60284896622108,30.60450987649212,5.0
15,20221012,61.08797385391876,30.107851054871144,5.0
14,20221012,61.11578573783608,30.04856285705902,5.0
13,20221012,61.17133784885154,29.91810838242847,5.0
23,20221012,60.65737322941334,28.40107636844456,5.0
12,20221012,61.13143666744852,30.01352403681488,5.0
10,20221012,61.18764005932608,30.70084361602588,5.0
9,20221012,61.32965568031005,30.2001015682852,5.0
8,20221012,61.1659619152648,31.714514159570875,5.0
7,20221012,61.41075273945859,30.92593974414424,5.0
6,20221012,61.364815033499504,31.51210780392942,5.0
5,20221012,61.51116869824479,30.50306528272188,5.0
4,20221012,61.48533226080489,31.54952599221561,5.0
3,20221012,61.485776942666256,31.54973101233956,5.0
2,20221012,61.6965080311057,30.809663197781344,5.0
1,20221012,61.68212480331212,30.996536718817755,5.0
11,20221012,61.23557414655451,30.02105954442021,5.0
24,20221012,60.65636201188644,28.402660250090168,5.0
